,predict,relation
18689,PersonX designs a new outfit.,xAttr
18690,PersonY receives the gift.,xReact
18691,PersonX looks surprised.,oEffect
18692,PersonX carefully selected a gift.,xAttr
18693,PersonX falls asleep after applying sunscreen.,xAttr
18694,PersonX ensures PersonY's survival == PersonY is grateful.,xIntent
18695,PersonX sees their favorite item on sale.,xReact
18696,PersonX hides behind a tree.,xIntent
18697,PersonY appreciates PersonX's expertise.,xAttr
18698,PersonX finally finds the answer.,xAttr
18699,PersonX is focused on their tasks.,xReact
18700,PersonX cooks dinner instead.,xReact
18701,PersonX brings flowers to their parents.,xAttr
18702,PersonX finds PersonY slouching in their chair.,xNeed
18703,PersonX helps PersonY pick up their bags.,xIntent
18704,PersonX shakes PersonY's hand slowly.,oWant
18705,PersonX meets other members of the book club.,xWant
18706,PersonX gets nauseous.,xEffect
18707,PersonX challenges their friends to a video game marathon.,xAttr
18708,PersonX gives PersonY a prescription to help with their medical condition.,xIntent
18709,PersonX continues to live the dream.,xWant
18710,PersonX presents their ideas confidently.,xAttr
18711,PersonX gives a bouquet of flowers to PersonX's mother.,xWant
18712,PersonX stays up late to finish the video game.,xWant
18713,PersonX spends quality time playing with her children.,xNeed
18714,PersonX decides to travel to Germany.,xAttr
18715,PersonX catches up with the latest news.,xIntent
18716,PersonX avoids making an appointment.,xReact
18717,PersonX goes home.,xWant
18718,PersonX asks PersonY for clarification on the output requirements.,xNeed
18719,PersonX wins a big hand.,xNeed
18720,PersonX takes a nap.,xWant
18721,PersonX is hungry.,xNeed
18722,PersonX starts dating someone with blonde hair.,oReact
18723,PersonX decides to cut ties with all former friends.,xIntent
18724,PersonY smiles back.,xAttr
18725,PersonY agrees to join.,oReact
18726,PersonX brings out their notebook.,xReact
18727,PersonX feels a sharp pain in PersonX's back.,xAttr
18728,PersonX dresses to kill == Goes out to a club,xWant
18729,PersonX goes shopping.,xReact
18730,PersonY decides to purchase more items because of the discount.,xWant
18731,PersonX calls their parents.,xNeed
18732,Captives experience spiritual enlightenment.,xReact
18733,user from gaining power.,xWant
18734,PersonX takes her little sister shopping to buy new clothes.,xEffect
18735,PersonX helps PersonY into the emergency room.,xNeed
18736,bills and maintain a good credit score.,xEffect
18737,PersonX finds a birthday card from a friend.,xNeed
18738,PersonX spins in circles.,xAttr
18739,PersonX sneaks into the neighbor's pool.,xAttr
18740,PersonY feels grateful.,xIntent
18741,PersonX spends time developing skills in coding.,xEffect
18742,PersonX decides to start going to the gym.,xReact
18743,PersonX turns their back to PersonY == upset still,xReact
18744,PersonX gets angry and yells at PersonY.,xEffect
18745,PersonX greets PersonY's friends warmly.,xReact
18746,PersonX drives home.,xIntent
18747,PersonX successfully finds the lost keys.,xReact
18748,PersonX sees a crowd gathering.,xIntent
18749,PersonY agrees to go to the movies.,xWant
18750,PersonX gets a tutor to improve their grades.,xWant
18751,PersonY realizes his mistake.,xIntent
18752,PersonX drives to a secluded area.,xWant
18753,PersonX takes a long bath.,xAttr
18754,"The winners feel proud, while the others feel like losers.",oEffect
18755,PersonY becomes excited and wants to start customizing their website.,xIntent
18756,PersonX sets PersonY's heart at ease.,xWant
18757,PersonX visits social gatherings around the world.,oWant
18758,PersonY storms off in frustration.,xReact
18759,a sandwich.,xNeed
18760,legal process,xWant
18761,PersonX and PersonY have reconciled their differences.,oReact
18762,PersonX sees a howling wolf in the distance.,xEffect
18763,PersonX commits a robbery.,xEffect
18764,a friend,xNeed
18765,PersonX helps PersonY search for their missing parent.,xNeed
18766,PersonX is fired on the spot == faces financial difficulties.,xEffect
18767,PersonX successfully completes the project.,xReact
18768,PersonX learns PersonY's favorite song well.,xEffect
18769,PersonX buys a luxury car.,xAttr
18770,PersonX gets charged with a crime.,xNeed
18771,PersonX gets recognized by their boss.,xWant
18772,Person X celebrates getting the job offer.,xWant
18773,PersonX asserts dominance over PersonY.,xIntent
18774,PersonX smiles with excitement.,xIntent
18775,PersonX receives assistance.,xWant
18776,PersonX finds the perfect outfit.,xReact
18777,PersonX apologizes to PersonY.,xWant
18778,PersonX enjoys the breeze.,xIntent
18779,PersonX stops and gets some food.,xAttr
18780,PersonX buys a new car.,xIntent
18781,PersonX invites all their close friends to join the party.,xIntent
18782,PersonX has a hangover.,xAttr
18783,PersonX receives positive feedback on PersonY adjustments.,xReact
18784,PersonX plays PersonY in a chess match.,oWant
18785,PersonX sees PersonY talking to someone else.,xNeed
18786,PersonX helped PersonY with their homework.,oReact
18787,a team player.,xIntent
18788,PersonX takes a nap.,xWant
18789,PersonX celebrates winning the game.,xIntent
18790,PersonX delivers PersonY's message.,xAttr
18791,Person X now knows how to speak the language.,oEffect
18792,PersonX receives a thank you message from PersonY.,xWant
18793,PersonX calls their friend for help. (helped),xReact
18794,PersonX gets engaged.,xReact
18795,PersonX buys a new house.,xIntent
18796,crown,xNeed
18797,PersonX is finally satisfied and full.,xAttr
18798,PersonX gains a large social media following.,xAttr
18799,PersonX frequently sends updates and messages to PersonY.,xIntent
18800,PersonX asks PersonY for assistance.,xIntent
18801,PersonX takes the medicine gratefully.,oReact
18802,"PersonX makes a new friend at school.""",xAttr
18803,PersonX gets a paycheck.,xIntent
18804,PersonX asks PersonY if they can adopt their mother.,xWant
18805,PersonX wants to know more about PersonY's family.,xAttr
18806,PersonX gets the goods on their boss.,xIntent
18807,PersonX buys a toy for PersonY's daughter.,xReact
18808,PersonY reaches for PersonX's hand.,xNeed
18809,PersonX gathers the necessary materials.,xIntent
18810,PersonY is frustrated and insists that PersonX replaces the broken glasses.,oReact
18811,PersonX is checking their phone frequently.,xReact
18812,PersonX is a small child == to learn how to read.,xWant
18813,PersonX does not show up for the meeting.,xAttr
18814,PersonY gets injured.,xAttr
18815,PersonX helps PersonY achieve their goal.,xAttr
18816,PersonX soon became excited and started planning a trip.,xWant
18817,PersonX hugs PersonY tightly.,xWant
18818,Person Y goes to lunch but avoids Person X.,oEffect
18819,PersonX buys a new car.,xNeed
18820,PersonX keeps winning to improve their skills.,xNeed
18821,PersonX notices that PersonY is wearing mismatched shoes.,xReact
18822,walk to work,xWant
18823,PersonX learns to be more patient with PersonY.,xWant
18824,PersonX makes a delicious dinner.,oWant
18825,PersonX discusses the author's themes and motifs.,xIntent
18826,Stumbles into PersonX's photo by accident.,oEffect
18827,PersonX offers to tutor PersonY in math.,xAttr
18828,PersonX receives a phone call that their pet has passed away.,xAttr
18829,PersonX buys flowers for PersonX's mom.,oWant
18830,PersonX buys themselves a cone of ice cream to give to PersonY.,xWant
18831,PersonX becomes so happy.,xEffect
18832,PersonX wants to swim == PersonX buys a new swimsuit.,xNeed
18833,"PersonX smiles and says ""Thank you"".",xAttr
18834,project,xWant
18835,PersonX takes a stray cat to a shelter.,xIntent
18836,PersonX dances on the table.,xAttr
18837,PersonX sees a butterfly.,oReact
18838,PersonX goes to the library after school.,xWant
18839,"PersonX gains new clients == to be popular
EventB: PersonX gains new clients because they are popular.",xNeed
18840,PersonX visits a museum for the first time.,xIntent
18841,PersonY goes for a walk in the park.,xIntent
18842,PersonX takes a nap.,xAttr
18843,PersonX makes the noise == to signal the start of the race,xWant
18844,PersonX clears the clutter away == satisfied because he makes the room tidy,xReact
18845,PersonY is grateful for the visit.,xWant
18846,PersonX shops for new clothes.,xAttr
18847,PersonX punches someone in the face because they were defending themselves.,xWant
18848,PersonX asserts their dominance.,xAttr
18849,PersonX applies for a job promotion.,oWant
18850,PersonX wakes up hungry.,xWant
18851,PersonX smiles back at the baby and says thank you.,oWant
18852,PersonX plays a lead role in the drama.,xWant
18853,PersonY is grateful to PersonX.,oReact
18854,PersonX gets PersonY's drink away.,xWant
18855,PersonX jumps off a cliff.,xAttr
18856,PersonX sends compliments to the chef.,xAttr
18857,PersonX remains in PersonY's thoughts throughout the day.,xAttr
18858,Coworkers are shocked.,oEffect
18859,PersonX apologizes and makes amends.,xWant
18860,PersonX hits a growth spurt.,xAttr
18861,PersonX wears a lucky charm.,xIntent
18862,PersonX studies diligently every day.,xNeed
18863,PersonX survives the fight.,xReact
18864,PersonX wins gold medal in the competition.,xNeed
18865,PersonX gains a new skill.,oReact
18866,PersonY thanks PersonX.,xReact
18867,PersonX plays basketball after school.,xNeed
18868,PersonX walks home from school feeling tired and unhappy.,xAttr
18869,PersonX sits down and enjoys a cup of tea.,xReact
18870,PersonX meditates to calm their fears.,xWant
18871,PersonX forgets their own birthday.,xAttr
18872,PersonX watches it alone.,xEffect
18873,PersonX leaves for work == a big paycheck.,xWant
18874,PersonX starts going to the gym regularly.  ,xEffect
18875,PersonX turns on the light.,xWant
18876,PersonY is unsure what to do next.,xReact
18877,PersonY completes the assigned task.,xReact
18878,PersonX finds a lost wallet in the garbage and returns it to its owner.,xEffect
18879,diplomatic relationships,oEffect
18880,PersonY receives the framework.,xIntent
18881,PersonX calls someone to ask them for a quote.,xWant
18882,PersonY becomes skeptical and listens to PersonX.,oEffect
18883,PersonX takes the loss back.,oReact
18884,PersonX plugs in the fan to cool down.,xIntent
18885,PersonX tries to make out with PersonY == PersonX leans in for a kiss,xNeed
18886,PersonX's best friend agrees to hang out.,oWant
18887,"People come over, thank and hug PersonX.",oWant
18888,PersonX visits the mechanic.,xReact
18889,PersonX falls asleep after the meal.,xReact
18890,PersonX enters PersonY's father's office and confidently introduces themselves.,xAttr
18891,their keys,oWant
18892,PersonY feels betrayed.,xNeed
18893,PersonX investigates the crime scene.,oWant
18894,PersonX investigates the source of the noises.,xAttr
18895,PersonY's friends chat with each other.,xEffect
18896,PersonX gives PersonY a ticket == PersonY is grateful.,xReact
18897,PersonX gets a standing ovation == PersonX feels proud and grateful.,oEffect
18898,PersonX congratulates PersonY on their success.,oReact
18899,PersonX's mom encourages PersonX to keep trying.,oWant
18900,"PersonX gives PersonY the right to celebrate their new rights, to tell their families.",oWant
18901,PersonX consults with the client about the issue.,oWant
18902,PersonX strikes fear in others.,xReact
18903,PersonX prevents PersonY from obtaining a promotion.,oEffect
18904,PersonX starts to make a plan.,xWant
18905,PersonY expresses gratitude.,xReact
18906,PersonX hits a wall hard.,oEffect
18907,PersonX starts watching a movie.,xNeed
18908,PersonX gets an apple from the tree.,xEffect
18909,PersonX invites PersonY to dinner ==> PersonY agrees to go on the dinner date.,xWant
18910,PersonX decides to make a salad for dinner.,xAttr
18911,PersonY cries and takes a step back.,oWant
18912,PersonX comes late == is reprimanded by their boss.,xEffect
18913,PersonX writes a response.,xNeed
18914,PersonX eats chicken.,oEffect
18915,PersonX asks PersonY out on a date.,xIntent
18916,PersonY receives training to improve their skills.,oWant
18917,PersonX buys the dress at a price.,xNeed
18918,The students are excited.,xIntent
18919,"""PersonX expresses concern for PersonY's mother.""",xIntent
18920,PersonX gives flowers to PersonX's friends.,oReact
18921,PersonX for permission to marry PersonY's daughter.,xReact
18922,PersonX takes PersonY part == PersonX takes PersonY's part and starts using it.,oWant
18923,PersonX receives positive feedback from guests.,xReact
18924,PersonX breaks open the box.,xWant
18925,PersonX brags about their recent accomplishments.,xWant
18926,PersonX tries a new hobby.,xWant
18927,PersonX gets told the ending of the movie.,xEffect
18928,to get married,xNeed
18929,Person Y feels hurt and rejected.,xAttr
18930,PersonY is relieved by not having to pack the bags.,oEffect
18931,PersonX moves to another state and changes his name.,xWant
18932,PersonX level increases.,xEffect
18933,PersonX gets recognized for their hard work.,xWant
18934,PersonX reveals to PersonY's boyfriend that she is planning a surprise party.,xReact
18935,PersonX receives a dog.,xEffect
